Animal_Id,Outcome_Type,Outcome_Subtype,Outcome_Date,Impound_Number,Outcome_Condition
A0705369,EUTHANIZED,MEDICAL,12/23/2021 12:00:00 AM,K21-544222,CRITICAL
A0711486,ADOPTION,IN FOSTER,01/14/2022 12:00:00 AM,K22-545731,APP WNL
A0711486,FOSTER,GENERAL,12/11/2021 12:00:00 AM,K21-542652,APP WNL
A0712281,EUTHANIZED,HUMANE,03/22/2022 12:00:00 AM,K22-550257,FATAL
A0715875,EUTHANIZED,DD/AGG,06/10/2022 12:00:00 AM,K22-556920,APP WNL
A0717641,RETURNED TO OWNER,WESTMORELD,10/17/2021 12:00:00 AM,K21-538917,APP WNL
A0722893,RETURNED TO OWNER,FIELD,12/27/2021 12:00:00 AM,K21-544422,APP SICK
A0728725,RETURNED TO OWNER,WESTMORELD,01/13/2022 12:00:00 AM,K22-545113,APP WNL
A0734514,TRANSFER,MEDICAL,05/02/2022 12:00:00 AM,K22-553182,APP SICK
A0737728,TRANSFER,MEDICAL,02/18/2022 12:00:00 AM,K22-547709,APP SICK
A0737987,EUTHANIZED,HUMANE,06/09/2022 12:00:00 AM,K22-556951,CRITICAL
A0742095,ADOPTION,WESTMORELD,04/30/2022 12:00:00 AM,K22-553394,APP WNL
A0742314,TREATMENT,COMPLETED,01/04/2022 12:00:00 AM,K22-545034,APP WNL
A0742935,RETURNED TO OWNER,FIELD,01/14/2022 12:00:00 AM,K22-545698,APP SICK
A0743281,RETURNED TO OWNER,WESTMORELD,11/16/2021 12:00:00 AM,K21-541171,APP WNL
A0755277,ADOPTION,WESTMORELD,04/08/2022 12:00:00 AM,K22-551053,APP WNL
A0756577,RETURNED TO OWNER,WESTMORELD,06/20/2022 12:00:00 AM,K22-557667,APP WNL
A0757838,EUTHANIZED,SPACE,06/17/2022 12:00:00 AM,K22-556707,APP WNL
A0763458,RETURNED TO OWNER,WESTMORELD,06/06/2022 12:00:00 AM,K22-555829,APP WNL
A0769235,RETURNED TO OWNER,WESTMORELD,11/07/2021 12:00:00 AM,K21-540934,APP WNL
A0769235,RETURNED TO OWNER,WESTMORELD,10/05/2021 12:00:00 AM,K21-538171,APP WNL
A0770373,TRANSFER,GENERAL,08/27/2022 12:00:00 AM,K22-558764,APP WNL
A0775997,RETURNED TO OWNER,WESTMORELD,04/21/2022 12:00:00 AM,K22-552492,APP WNL
A0778310,TREATMENT,COMPLETED,10/21/2021 12:00:00 AM,K21-539538,APP WNL
A0778310,TREATMENT,COMPLETED,11/29/2021 12:00:00 AM,K21-542423,APP SICK
A0783805,FOSTER,TRANSPORT,10/25/2021 12:00:00 AM,K21-539180,APP WNL
A0783805,TRANSFER,TRANSPORT,10/28/2021 12:00:00 AM,K21-540099,APP WNL
A0784913,ADOPTION,WESTMORELD,10/29/2022 12:00:00 AM,K22-564971,APP WNL
A0785989,RETURNED TO OWNER,WESTMORELD,02/28/2022 12:00:00 AM,K22-547989,APP WNL
A0787695,RETURNED TO OWNER,WESTMORELD,09/15/2022 12:00:00 AM,K22-565305,APP WNL
A0792560,RETURNED TO OWNER,FIELD,06/25/2022 12:00:00 AM,K22-558264,APP INJ
A0794144,EUTHANIZED,BEHAVIOR,04/16/2022 12:00:00 AM,K22-552026,APP WNL
A0794596,TRANSFER,GENERAL,02/25/2022 12:00:00 AM,K22-548061,APP WNL
A0794663,ADOPTION,WESTMORELD,04/03/2022 12:00:00 AM,K22-549127,APP WNL
A0797536,DIED,IN KENNEL,01/09/2022 12:00:00 AM,K21-543797,DECEASED
A0797746,DISPOSAL,DISPOSAL,10/08/2021 12:00:00 AM,K21-538429,DECEASED
A0797770,RETURNED TO OWNER,WESTMORELD,10/15/2021 12:00:00 AM,K21-538556,APP WNL
A0797770,RETURNED TO OWNER,WESTMORELD,05/28/2022 12:00:00 AM,K22-555113,APP WNL
A0799866,EUTHANIZED,BEHAVIOR,11/20/2021 12:00:00 AM,K21-541043,APP WNL
A0800159,ADOPTION,WESTMORELD,08/31/2022 12:00:00 AM,K22-563871,APP WNL
A0804397,RETURNED TO OWNER,FIELD,01/07/2022 12:00:00 AM,K22-545276,APP WNL
A0811546,DISPOSAL,DISPOSAL,07/19/2022 12:00:00 AM,K22-560365,DECEASED
A0813527,FOSTER,GENERAL,10/01/2022 12:00:00 AM,K22-565646,APP WNL
A0813739,EUTHANIZED,MEDICAL,06/01/2022 12:00:00 AM,K22-556058,CRITICAL
A0814701,TRANSFER,TRANSPORT,10/09/2021 12:00:00 AM,K21-538465,APP WNL
A0814825,RETURNED TO OWNER,WESTMORELD,06/21/2022 12:00:00 AM,K22-557616,APP WNL
A0815573,RETURNED TO OWNER,FIELD,05/23/2022 12:00:00 AM,K22-555390,APP INJ
A0816413,RETURNED TO OWNER,WESTMORELD,04/23/2022 12:00:00 AM,K22-552678,APP WNL
A0817136,EUTHANIZED,BEHAVIOR,12/24/2021 12:00:00 AM,K21-543464,APP WNL
A0817988,RETURNED TO OWNER,WESTMORELD,01/03/2022 12:00:00 AM,K22-544920,APP WNL
A0818217,RETURNED TO OWNER,WESTMORELD,12/23/2021 12:00:00 AM,K21-544224,APP WNL
A0819218,TREATMENT,COMPLETED,01/10/2022 12:00:00 AM,K22-545446,APP WNL
A0819218,TREATMENT,COMPLETED,12/08/2021 12:00:00 AM,K21-543133,APP WNL
A0819218,TREATMENT,COMPLETED,02/15/2022 12:00:00 AM,K22-547875,APP WNL
A0819935,DISPOSAL,DISPOSAL,10/27/2021 12:00:00 AM,K21-539978,DECEASED
A0822156,RETURNED TO OWNER,FIELD,09/05/2022 12:00:00 AM,K22-564504,APP WNL
A0824446,RETURNED TO OWNER,FIELD,12/28/2021 12:00:00 AM,K21-544545,APP WNL
A0824448,RETURNED TO OWNER,FIELD,12/28/2021 12:00:00 AM,K21-544546,APP WNL
A0826118,RETURNED TO OWNER,FIELD,07/02/2022 12:00:00 AM,K22-558835,APP WNL
A0831097,RETURNED TO OWNER,FIELD,10/13/2021 12:00:00 AM,K21-538890,APP INJ
A0832360,ADOPTION,WESTMORELD,11/14/2021 12:00:00 AM,K21-539786,APP WNL
A0832360,TRANSFER,BEHAVIOR,04/12/2022 12:00:00 AM,K22-550248,APP WNL
A0835443,RETURNED TO OWNER,WESTMORELD,04/21/2022 12:00:00 AM,K22-551727,APP WNL
A0835444,RETURNED TO OWNER,WESTMORELD,04/21/2022 12:00:00 AM,K22-551728,APP WNL
A0838689,RETURNED TO OWNER,FIELD,06/28/2022 12:00:00 AM,K22-558441,APP WNL
A0839820,EUTHANIZED,MEDICAL,05/13/2022 12:00:00 AM,K22-554074,CRITICAL
A0842366,FOSTER,TRANSPORT,10/15/2022 12:00:00 AM,K22-564095,APP INJ
A0851063,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541046,APP WNL
A0851522,ADOPTION,WESTMORELD,09/16/2022 12:00:00 AM,K22-564927,APP WNL
A0853741,RETURNED TO OWNER,WESTMORELD,10/15/2021 12:00:00 AM,K21-538557,APP WNL
A0853741,RETURNED TO OWNER,WESTMORELD,05/28/2022 12:00:00 AM,K22-555115,APP WNL
A0857252,TRANSFER,TRANSPORT,02/27/2022 12:00:00 AM,K22-545007,APP WNL
A0857362,DISPOSAL,DISPOSAL,07/20/2022 12:00:00 AM,K22-560464,DECEASED
A0858959,RETURNED TO OWNER,WESTMORELD,07/29/2022 12:00:00 AM,K22-560373,APP WNL
A0858959,RETURNED TO OWNER,WESTMORELD,03/19/2022 12:00:00 AM,K22-549564,APP WNL
A0862723,TRANSFER,GENERAL,08/26/2022 12:00:00 AM,K22-562209,APP WNL
A0863410,TRANSFER,GENERAL,10/08/2022 12:00:00 AM,K22-565189,APP WNL
A0865228,RETURNED TO OWNER,WESTMORELD,09/29/2022 12:00:00 AM,K22-566259,APP WNL
A0866305,RETURNED TO OWNER,WESTMORELD,01/10/2022 12:00:00 AM,K22-545033,APP WNL
A0866706,ADOPTION,WESTMORELD,03/11/2022 12:00:00 AM,K22-549489,APP WNL
A0869493,TRANSFER,MEDICAL,09/07/2022 12:00:00 AM,K22-562803,APP SICK
A0870739,DIED,DASCLINIC,10/18/2021 12:00:00 AM,K21-539293,CRITICAL
A0871054,TRANSFER,GENERAL,07/16/2022 12:00:00 AM,K22-553596,APP WNL
A0871790,TRANSFER,GENERAL,09/28/2022 12:00:00 AM,K22-563623,APP WNL
A0871848,RETURNED TO OWNER,WESTMORELD,04/16/2022 12:00:00 AM,K22-551657,APP WNL
A0872213,RETURNED TO OWNER,FIELD,12/20/2021 12:00:00 AM,K21-543980,APP WNL
A0872224,EUTHANIZED,BEHAVIOR,03/21/2022 12:00:00 AM,K22-549557,APP WNL
A0872410,RETURNED TO OWNER,WESTMORELD,10/19/2021 12:00:00 AM,K21-539222,APP WNL
A0873455,EUTHANIZED,MEDICAL,12/12/2021 12:00:00 AM,K21-543193,APP SICK
A0874101,RETURNED TO OWNER,WESTMORELD,12/23/2021 12:00:00 AM,K21-544232,APP WNL
A0878046,TRANSFER,TRANSPORT,02/01/2022 12:00:00 AM,K22-546986,APP WNL
A0878238,RETURNED TO OWNER,WESTMORELD,09/05/2022 12:00:00 AM,K22-564423,APP WNL
A0878645,TRANSFER,TRANSPORT,10/28/2021 12:00:00 AM,K21-540102,APP WNL
A0879023,TRANSFER,MEDICAL,05/17/2022 12:00:00 AM,K22-554507,APP SICK
A0879183,TRANSFER,GENERAL,04/13/2022 12:00:00 AM,K22-550297,APP WNL
A0880347,ADOPTION,WESTMORELD,04/16/2022 12:00:00 AM,K22-551697,APP WNL
A0883160,RETURNED TO OWNER,WESTMORELD,04/08/2022 12:00:00 AM,K22-551415,APP WNL
A0884451,EUTHANIZED,HUMANE,02/12/2022 12:00:00 AM,K22-547771,CRITICAL
A0885059,ADOPTION,WESTMORELD,05/31/2022 12:00:00 AM,K22-555560,APP WNL
A0887129,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541748,APP WNL
A0887129,RETURNED TO OWNER,WESTMORELD,11/24/2021 12:00:00 AM,K21-542199,APP WNL
A0889068,RETURNED TO OWNER,WESTMORELD,08/02/2022 12:00:00 AM,K22-561504,APP WNL
A0889982,RETURNED TO OWNER,WESTMORELD,06/21/2022 12:00:00 AM,K22-556809,APP WNL
A0891968,TRANSFER,TRANSPORT,10/22/2021 12:00:00 AM,K21-538804,APP WNL
A0892710,RETURNED TO OWNER,WESTMORELD,05/07/2022 12:00:00 AM,K22-553863,APP WNL
A0892710,RETURNED TO OWNER,WESTMORELD,03/31/2022 12:00:00 AM,K22-550834,APP WNL
A0892710,RETURNED TO OWNER,WESTMORELD,08/24/2022 12:00:00 AM,K22-563387,APP WNL
A0894774,ADOPTION,WESTMORELD,06/06/2022 12:00:00 AM,K22-556114,APP WNL
A0895359,EUTHANIZED,MEDICAL,11/04/2021 12:00:00 AM,K21-538585,APP SICK
A0895880,TRANSFER,TRANSPORT,02/13/2022 12:00:00 AM,K21-542898,APP INJ
A0897821,EUTHANIZED,BITE,06/09/2022 12:00:00 AM,K22-556825,APP WNL
A0897857,RETURNED TO OWNER,FIELD,03/24/2022 12:00:00 AM,K22-550372,APP WNL
A0897857,RETURNED TO OWNER,FIELD,11/23/2021 12:00:00 AM,K21-542116,APP WNL
A0898102,ADOPTION,WESTMORELD,03/31/2022 12:00:00 AM,K22-550267,APP WNL
A0898506,ADOPTION,WESTMORELD,07/21/2022 12:00:00 AM,K22-560025,APP WNL
A0900210,FOSTER,GENERAL,08/21/2022 12:00:00 AM,K22-562736,APP WNL
A0900210,ADOPTION,WESTMORELD,07/07/2022 12:00:00 AM,K22-553770,APP WNL
A0902060,EUTHANIZED,MEDICAL,12/10/2021 12:00:00 AM,K21-543240,CRITICAL
A0902185,ADOPTION,ADOPETS,01/14/2022 12:00:00 AM,K22-545008,APP WNL
A0902861,RETURNED TO OWNER,WESTMORELD,12/24/2021 12:00:00 AM,K21-543585,APP WNL
A0903245,RETURNED TO OWNER,FIELD,05/05/2022 12:00:00 AM,K22-553882,APP WNL
A0903371,ADOPTION,WESTMORELD,05/15/2022 12:00:00 AM,K22-553374,APP WNL
A0903371,RETURNED TO OWNER,WESTMORELD,11/27/2021 12:00:00 AM,K21-542329,APP INJ
A0903371,ADOPTION,WESTMORELD,11/08/2021 12:00:00 AM,K21-540130,APP WNL
A0906083,RETURNED TO OWNER,FIELD,01/19/2022 12:00:00 AM,K22-546107,APP WNL
A0906544,EUTHANIZED,HUMANE,04/29/2022 12:00:00 AM,K22-553349,APP INJ
A0906949,ADOPTION,IN FOSTER,10/12/2021 12:00:00 AM,K21-538812,APP WNL
A0907637,RETURNED TO OWNER,WESTMORELD,12/17/2021 12:00:00 AM,K21-543394,APP WNL
A0908117,ADOPTION,WESTMORELD,01/17/2022 12:00:00 AM,K22-545006,APP WNL
A0908495,EUTHANIZED,BEHAVIOR,04/11/2022 12:00:00 AM,K22-549491,APP WNL
A0909598,RETURNED TO OWNER,WESTMORELD,04/08/2022 12:00:00 AM,K22-551470,APP WNL
A0909613,DISPOSAL,DISPOSAL,03/24/2022 12:00:00 AM,K22-550363,DECEASED
A0910303,EUTHANIZED,MEDICAL,06/15/2022 12:00:00 AM,K22-557418,CRITICAL
A0911423,RETURNED TO OWNER,WESTMORELD,08/21/2022 12:00:00 AM,K22-562338,APP WNL
A0911520,RETURNED TO OWNER,WESTMORELD,05/19/2022 12:00:00 AM,K22-554387,APP WNL
A0911675,RETURNED TO OWNER,WESTMORELD,08/13/2022 12:00:00 AM,K22-561583,APP WNL
A0911735,RETURNED TO OWNER,WESTMORELD,03/30/2022 12:00:00 AM,K22-550841,APP WNL
A0911735,RETURNED TO OWNER,WESTMORELD,04/26/2022 12:00:00 AM,K22-552964,APP WNL
A0911809,RETURNED TO OWNER,FIELD,12/04/2021 12:00:00 AM,K21-542909,APP WNL
A0912466,RETURNED TO OWNER,WESTMORELD,10/26/2021 12:00:00 AM,K21-539035,APP WNL
A0915722,EUTHANIZED,MEDICAL,05/19/2022 12:00:00 AM,K22-555051,CRITICAL
A0915966,ADOPTION,ADOPETS,01/06/2022 12:00:00 AM,K22-545121,APP WNL
A0916082,TRANSFER,BEHAVIOR,02/20/2022 12:00:00 AM,K22-547907,APP WNL
A0916337,EUTHANIZED,BEHAVIOR,10/25/2021 12:00:00 AM,K21-539404,APP WNL
A0919489,RETURNED TO OWNER,WESTMORELD,06/18/2022 12:00:00 AM,K22-556998,APP WNL
A0919664,RETURNED TO OWNER,WESTMORELD,01/03/2022 12:00:00 AM,K21-544299,APP WNL
A0920047,TREATMENT,COMPLETED,10/11/2021 12:00:00 AM,K21-538681,APP WNL
A0920047,ADOPTION,WESTMORELD,11/13/2021 12:00:00 AM,K21-540705,APP WNL
A0921358,ADOPTION,WESTMORELD,09/05/2022 12:00:00 AM,K22-564136,APP WNL
A0922028,RETURNED TO OWNER,WESTMORELD,06/06/2022 12:00:00 AM,K22-556615,APP WNL
A0922498,RETURNED TO OWNER,WESTMORELD,07/13/2022 12:00:00 AM,K22-559123,APP WNL
A0922929,ADOPTION,WESTMORELD,02/20/2022 12:00:00 AM,K22-545452,APP WNL
A0923894,RETURNED TO OWNER,WESTMORELD,01/04/2022 12:00:00 AM,K22-544975,APP WNL
A0923894,RETURNED TO OWNER,FIELD,03/25/2022 12:00:00 AM,K22-550453,APP WNL
A0923894,RETURNED TO OWNER,WESTMORELD,07/25/2022 12:00:00 AM,K22-560718,APP WNL
A0926373,DISPOSAL,DISPOSAL,06/09/2022 12:00:00 AM,K22-556938,DECEASED
A0927113,RETURNED TO OWNER,WESTMORELD,01/11/2022 12:00:00 AM,K22-545525,APP WNL
A0927496,RETURNED TO OWNER,FIELD,05/23/2022 12:00:00 AM,K22-555411,APP WNL
A0927496,RETURNED TO OWNER,FIELD,04/13/2022 12:00:00 AM,K22-551928,APP WNL
A0927496,EUTHANIZED,BEHAVIOR,09/20/2022 12:00:00 AM,K22-563761,APP SICK
A0927520,ADOPTION,WESTMORELD,04/03/2022 12:00:00 AM,K22-549202,APP WNL
A0927520,RETURNED TO OWNER,FIELD,10/18/2021 12:00:00 AM,K21-539295,APP WNL
A0927753,ADOPTION,WESTMORELD,03/29/2022 12:00:00 AM,K22-550311,APP WNL
A0928373,EUTHANIZED,BITE,12/17/2021 12:00:00 AM,K21-541755,APP WNL
A0929674,RETURNED TO OWNER,FIELD,02/17/2022 12:00:00 AM,K22-548111,APP WNL
A0930199,TRANSFER,GENERAL,07/12/2022 12:00:00 AM,K22-558873,APP WNL
A0930266,EUTHANIZED,HUMANE,09/28/2022 12:00:00 AM,K22-566287,APP SICK
A0930272,ADOPTION,WESTMORELD,11/11/2021 12:00:00 AM,K21-540496,APP WNL
A0930847,ADOPTION,WESTMORELD,05/06/2022 12:00:00 AM,K22-553424,APP WNL
A0932422,ADOPTION,WESTMORELD,10/04/2022 12:00:00 AM,K22-563880,APP WNL
A0932911,TREATMENT,COMPLETED,06/26/2022 12:00:00 AM,K22-558298,APP WNL
A0932911,TREATMENT,COMPLETED,07/16/2022 12:00:00 AM,K22-560121,APP WNL
A0932911,TREATMENT,COMPLETED,07/30/2022 12:00:00 AM,K22-561259,APP WNL
A0932911,FOSTER,GENERAL,06/10/2022 12:00:00 AM,K22-557045,APP WNL
A0932911,FOSTER,GENERAL,06/22/2022 12:00:00 AM,K22-558014,APP WNL
A0932911,FOSTER,GENERAL,04/10/2022 12:00:00 AM,K22-549444,APP WNL
A0932911,FOSTER,GENERAL,02/23/2022 12:00:00 AM,K21-543096,APP WNL
A0932912,FOSTER,SAME DAY,01/29/2022 12:00:00 AM,K21-543095,APP WNL
A0932912,FOSTER,APPOINT,03/16/2022 12:00:00 AM,K22-547571,APP WNL
A0932912,EUTHANIZED,BEHAVIOR,04/04/2022 12:00:00 AM,K22-550016,APP WNL
A0932982,RETURNED TO OWNER,WESTMORELD,07/06/2022 12:00:00 AM,K22-558982,APP WNL
A0933411,RETURNED TO OWNER,WESTMORELD,02/16/2022 12:00:00 AM,K22-547310,APP WNL
A0933440,ADOPTION,IN FOSTER,12/20/2021 12:00:00 AM,K21-544011,APP WNL
A0933440,FOSTER,GENERAL,12/19/2021 12:00:00 AM,K21-543914,APP WNL
A0936850,TRANSFER,MEDICAL,07/31/2022 12:00:00 AM,K22-561155,APP SICK
A0938043,EUTHANIZED,HUMANE,07/08/2022 12:00:00 AM,K22-559383,APP SICK
A0938810,RETURNED TO OWNER,FIELD,06/02/2022 12:00:00 AM,K22-556291,APP WNL
A0939604,TREATMENT,COMPLETED,12/29/2021 12:00:00 AM,K21-544513,APP WNL
A0939604,TREATMENT,COMPLETED,11/22/2021 12:00:00 AM,K21-542058,APP WNL
A0941121,RETURNED TO OWNER,WESTMORELD,04/13/2022 12:00:00 AM,K22-550306,APP WNL
A0941186,EUTHANIZED,SPACE,06/30/2022 12:00:00 AM,K22-557448,APP WNL
A0943022,RETURNED TO OWNER,WESTMORELD,12/15/2021 12:00:00 AM,K21-542956,APP WNL
A0943355,ADOPTION,WESTMORELD,01/29/2022 12:00:00 AM,K22-546233,APP WNL
A0943355,ADOPTION,WESTMORELD,05/07/2022 12:00:00 AM,K22-553551,APP WNL
A0943615,RETURNED TO OWNER,WESTMORELD,04/25/2022 12:00:00 AM,K22-552651,APP WNL
A0943620,TRANSFER,MEDICAL,05/20/2022 12:00:00 AM,K22-554622,APP SICK
A0945090,TRANSFER,MEDICAL,05/20/2022 12:00:00 AM,K22-554813,APP INJ
A0945632,TREATMENT,COMPLETED,01/12/2022 12:00:00 AM,K22-545506,APP WNL
A0945632,TREATMENT,COMPLETED,12/08/2021 12:00:00 AM,K21-543141,APP WNL
A0945632,TREATMENT,COMPLETED,11/01/2021 12:00:00 AM,K21-540437,APP WNL
A0947684,RETURNED TO OWNER,FIELD,11/13/2021 12:00:00 AM,K21-541456,APP WNL
A0948595,ADOPTION,ADOPETS,01/27/2022 12:00:00 AM,K22-546129,APP WNL
A0948595,TRANSFER,GENERAL,02/01/2022 12:00:00 AM,K22-546811,APP WNL
A0948892,TRANSFER,GENERAL,01/02/2022 12:00:00 AM,K21-544527,APP WNL
A0949069,EUTHANIZED,HUMANE,05/11/2022 12:00:00 AM,K22-554347,FATAL
A0950108,RETURNED TO OWNER,FIELD,02/15/2022 12:00:00 AM,K22-547970,APP WNL
A0951376,TRANSFER,GENERAL,02/05/2022 12:00:00 AM,K22-546004,APP WNL
A0951376,ADOPTION,WESTMORELD,01/15/2022 12:00:00 AM,K21-544526,APP WNL
A0951958,EUTHANIZED,HUMANE,10/14/2021 12:00:00 AM,K21-538932,APP SICK
A0952716,RETURNED TO OWNER,WESTMORELD,10/24/2021 12:00:00 AM,K21-539627,APP WNL
A0953210,ADOPTION,WESTMORELD,08/16/2022 12:00:00 AM,K22-562664,APP WNL
A0953923,EUTHANIZED,MEDICAL,07/30/2022 12:00:00 AM,K22-561273,CRITICAL
A0954670,RETURNED TO OWNER,WESTMORELD,10/24/2021 12:00:00 AM,K21-539632,APP WNL
A0955662,EUTHANIZED,SPACE,10/01/2022 12:00:00 AM,K22-566021,APP WNL
A0957113,RETURNED TO OWNER,WESTMORELD,01/19/2022 12:00:00 AM,K22-545582,APP WNL
A0958104,TREATMENT,COMPLETED,11/12/2021 12:00:00 AM,K21-541213,APP WNL
A0959863,ADOPTION,WESTMORELD,08/13/2022 12:00:00 AM,K22-562201,APP WNL
A0959913,RETURNED TO OWNER,WESTMORELD,02/13/2022 12:00:00 AM,K22-546949,APP WNL
A0960163,EUTHANIZED,HUMANE,02/05/2022 12:00:00 AM,K22-547255,APP SICK
A0960943,RETURNED TO OWNER,WESTMORELD,05/24/2022 12:00:00 AM,K22-554914,APP WNL
A0961716,RETURNED TO OWNER,WESTMORELD,11/18/2021 12:00:00 AM,K21-541751,APP WNL
A0961923,EUTHANIZED,HUMANE,01/05/2022 12:00:00 AM,K22-545087,CRITICAL
A0963029,RETURNED TO OWNER,WESTMORELD,04/23/2022 12:00:00 AM,K22-552689,APP SICK
A0963079,EUTHANIZED,BITE,04/28/2022 12:00:00 AM,K22-552792,APP WNL
A0963460,EUTHANIZED,MEDICAL,10/30/2021 12:00:00 AM,K21-538239,APP SICK
A0964366,RETURNED TO OWNER,WESTMORELD,05/12/2022 12:00:00 AM,K22-554201,APP WNL
A0965325,EUTHANIZED,MEDICAL,02/19/2022 12:00:00 AM,K22-548148,APP SICK
A0965394,TREATMENT,COMPLETED,08/21/2022 12:00:00 AM,K22-563144,APP WNL
A0965394,FOSTER,GENERAL,08/13/2022 12:00:00 AM,K22-560419,APP WNL
A0965394,ADOPTION,IN FOSTER,08/21/2022 12:00:00 AM,K22-563201,APP WNL
A0966345,ADOPTION,WESTMORELD,12/17/2021 12:00:00 AM,K21-543457,APP WNL
A0966432,ADOPTION,WESTMORELD,01/22/2022 12:00:00 AM,K21-544720,APP WNL
A0966432,ADOPTION,WESTMORELD,12/30/2021 12:00:00 AM,K21-544469,APP WNL
A0967122,RETURNED TO OWNER,WESTMORELD,02/27/2022 12:00:00 AM,K22-548716,APP WNL
A0968876,ADOPTION,WESTMORELD,04/30/2022 12:00:00 AM,K22-550470,APP WNL
A0968876,EUTHANIZED,SPACE,05/28/2022 12:00:00 AM,K22-554984,APP WNL
A0968877,ADOPTION,ADOPETS,07/17/2022 12:00:00 AM,K22-553778,APP WNL
A0968877,ADOPTION,WESTMORELD,05/03/2022 12:00:00 AM,K22-550473,APP WNL
A0969277,ADOPTION,EAC,03/20/2022 12:00:00 AM,K22-548828,APP WNL
A0969517,EUTHANIZED,BITE,11/12/2021 12:00:00 AM,K21-540873,APP WNL
A0969550,FOSTER,SAME DAY,09/02/2022 12:00:00 AM,K22-563532,APP WNL
A0969550,TRANSFER,GENERAL,09/19/2022 12:00:00 AM,K22-564317,APP WNL
A0970018,RETURNED TO OWNER,FIELD,05/05/2022 12:00:00 AM,K22-553860,APP WNL
A0970129,RETURNED TO OWNER,WESTMORELD,02/26/2022 12:00:00 AM,K22-548217,APP WNL
