Animal_Id,Intake_Type,Intake_Subtype,Reason,Intake_Date,Intake_Condition,Hold_Request
A0644135,OWNER SURRENDER,WALK IN,PERSNLISSU,01/19/2022 12:00:00 AM,APP WNL,N/A
A0650172,OWNER SURRENDER,URGENT,MEDICAL,11/20/2021 12:00:00 AM,APP SICK,N/A
A0655660,STRAY,AT LARGE,OTHRINTAKS,05/16/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0656103,OWNER SURRENDER,URGENT,PERSNLISSU,07/28/2022 12:00:00 AM,APP INJ,RESC FOSTR
A0656113,OWNER SURRENDER,URGENT,PERSNLISSU,07/28/2022 12:00:00 AM,APP INJ,RESC FOSTR
A0657362,STRAY,AT LARGE,OTHRINTAKS,07/06/2022 12:00:00 AM,APP INJ,N/A
A0668790,OWNER SURRENDER,WALK IN,HOUSING,11/01/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0673908,STRAY,AT LARGE,OTHER,01/01/2022 12:00:00 AM,APP WNL,N/A
A0681623,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,02/07/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0692317,DISPOS REQ,OTC,OTHER,11/03/2021 12:00:00 AM,DECEASED,N/A
A0695338,DISPOS REQ,OTC,OTHRINTAKS,04/13/2022 12:00:00 AM,DECEASED,N/A
A0703155,DISPOS REQ,OTC,MEDICAL,10/04/2021 12:00:00 AM,DECEASED,N/A
A0703184,STRAY,CONFINED,OTHER,05/22/2022 12:00:00 AM,APP INJ,ADOP RESCU
A0703517,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,12/01/2021 12:00:00 AM,CRITICAL,EMERGENCY RESCUE
A0705369,OWNER SURRENDER,WALK IN,MEDICAL,12/23/2021 12:00:00 AM,APP SICK,N/A
A0711486,FOSTER,RETURN,OTHER,01/14/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0711486,TRANSFER,OWNER SURR,OTHER,12/01/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0712281,OWNER SURRENDER,URGENT,MEDICAL,03/22/2022 12:00:00 AM,CRITICAL,N/A
A0715875,OWNER SURRENDER,APPOINT,BEHAVIOR,06/09/2022 12:00:00 AM,APP WNL,DD/AGG
A0717641,OWNER SURRENDER,URGENT,BEHAVIOR,10/13/2021 12:00:00 AM,APP WNL,EUTH
A0722893,CONFISCATED,QUARANTINE,OTHRINTAKS,12/27/2021 12:00:00 AM,APP SICK,QUARANTINE
A0728725,STRAY,AT LARGE,OTHRINTAKS,01/05/2022 12:00:00 AM,APP WNL,EUTH
A0734514,OWNER SURRENDER,URGENT,MEDICAL,04/27/2022 12:00:00 AM,APP SICK,EMERGENCY RESCUE
A0737728,OWNER SURRENDER,URGENT,MEDICAL,02/11/2022 12:00:00 AM,APP SICK,RESCU ONLY
A0737987,STRAY,AT LARGE,OTHRINTAKS,06/09/2022 12:00:00 AM,APP INJ,N/A
A0742095,OWNER SURRENDER,WALK IN,OTHRINTAKS,04/29/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0742314,TREATMENT,HEART WORM,OTHER,01/04/2022 12:00:00 AM,APP WNL,N/A
A0742935,STRAY,AT LARGE,OTHRINTAKS,01/14/2022 12:00:00 AM,APP WNL,N/A
A0743281,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,11/09/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0755277,OWNER SURRENDER,WALK IN,PERSNLISSU,04/02/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0756577,STRAY,AT LARGE,OTHRINTAKS,06/18/2022 12:00:00 AM,APP WNL,ADOPTION
A0757838,TRANSFER,STRAY,OTHRINTAKS,06/06/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0763458,CONFISCATED,QUARANTINE,OTHRINTAKS,05/27/2022 12:00:00 AM,APP WNL,QUARANTINE
A0769235,STRAY,CONFINED,OTHRINTAKS,11/07/2021 12:00:00 AM,APP WNL,N/A
A0769235,STRAY,AT LARGE,OTHRINTAKS,10/03/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0770373,STRAY,CONFINED,OTHRINTAKS,07/01/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0775997,STRAY,AT LARGE,OTHRINTAKS,04/20/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0778310,TREATMENT,HEART WORM,OTHER,10/21/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0778310,TREATMENT,HEART WORM,OTHRINTAKS,11/28/2021 12:00:00 AM,APP WNL,N/A
A0783805,OWNER SURRENDER,URGENT,NOTRIGHTFT,10/16/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0783805,FOSTER,RETURN,NOTRIGHTFT,10/28/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0784913,STRAY,AT LARGE,OTHRINTAKS,09/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0785989,STRAY,AT LARGE,OTHRINTAKS,02/15/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0787695,STRAY,AT LARGE,OTHRINTAKS,09/14/2022 12:00:00 AM,APP WNL,N/A
A0792560,STRAY,CONFINED,OTHRINTAKS,06/25/2022 12:00:00 AM,APP SICK,N/A
A0794144,STRAY,AT LARGE,OTHRINTAKS,04/14/2022 12:00:00 AM,APP INJ,EUTH
A0794596,STRAY,CONFINED,OTHRINTAKS,02/16/2022 12:00:00 AM,APP SICK,ADOP RESCU
A0794663,STRAY,AT LARGE,OTHRINTAKS,03/05/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0797536,STRAY,AT LARGE,OTHRINTAKS,12/17/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0797746,OWNER SURRENDER,URGENT,MEDICAL,10/07/2021 12:00:00 AM,DECEASED,N/A
A0797770,STRAY,AT LARGE,OTHRINTAKS,10/09/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0797770,STRAY,AT LARGE,OTHRINTAKS,05/20/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0799866,OWNER SURRENDER,APPOINT,HOUSING,11/08/2021 12:00:00 AM,APP WNL,EUTH
A0800159,STRAY,AT LARGE,OTHRINTAKS,08/29/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0804397,STRAY,CONFINED,OTHRINTAKS,01/07/2022 12:00:00 AM,APP WNL,N/A
A0811546,OWNER SURRENDER,WALK IN,MEDICAL,07/19/2022 12:00:00 AM,DECEASED,N/A
A0813527,STRAY,AT LARGE,OTHRINTAKS,09/19/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0813739,STRAY,AT LARGE,OTHRINTAKS,05/30/2022 12:00:00 AM,CRITICAL,N/A
A0814701,OWNER SURRENDER,APPOINT,HOUSING,10/08/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0814825,CONFISCATED,QUARANTINE,OTHRINTAKS,06/17/2022 12:00:00 AM,APP WNL,QUARANTINE
A0815573,STRAY,AT LARGE,OTHRINTAKS,05/23/2022 12:00:00 AM,APP INJ,N/A
A0816413,STRAY,AT LARGE,OTHRINTAKS,04/22/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0817136,STRAY,AT LARGE,OTHRINTAKS,12/11/2021 12:00:00 AM,APP WNL,EUTH
A0817988,STRAY,AT LARGE,OTHRINTAKS,01/02/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0818217,TRANSFER,STRAY,OTHRINTAKS,12/23/2021 12:00:00 AM,APP WNL,N/A
A0819218,TREATMENT,HEART WORM,OTHER,01/10/2022 12:00:00 AM,APP WNL,N/A
A0819218,TREATMENT,HEART WORM,OTHER,12/08/2021 12:00:00 AM,APP WNL,N/A
A0819218,TREATMENT,HEART WORM,OTHER,02/14/2022 12:00:00 AM,APP WNL,N/A
A0819935,CONFISCATED,SAC,OTHRINTAKS,10/26/2021 12:00:00 AM,DECEASED,N/A
A0822156,STRAY,AT LARGE,OTHRINTAKS,09/05/2022 12:00:00 AM,APP WNL,N/A
A0824446,STRAY,AT LARGE,OTHRINTAKS,12/28/2021 12:00:00 AM,APP WNL,N/A
A0824448,STRAY,AT LARGE,OTHRINTAKS,12/28/2021 12:00:00 AM,APP WNL,N/A
A0826118,STRAY,AT LARGE,OTHRINTAKS,07/02/2022 12:00:00 AM,APP WNL,N/A
A0831097,STRAY,AT LARGE,OTHRINTAKS,10/13/2021 12:00:00 AM,APP INJ,N/A
A0832360,OWNER SURRENDER,APPOINT,PERSNLISSU,10/24/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0832360,OWNER SURRENDER,WALK IN,HOUSING,03/22/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0835443,CONFISCATED,QUARANTINE,OTHRINTAKS,04/10/2022 12:00:00 AM,APP WNL,QUARANTINE
A0835444,CONFISCATED,QUARANTINE,OTHRINTAKS,04/10/2022 12:00:00 AM,APP WNL,QUARANTINE
A0838689,STRAY,AT LARGE,OTHER,06/28/2022 12:00:00 AM,APP WNL,N/A
A0839820,OWNER SURRENDER,URGENT,MEDICAL,05/07/2022 12:00:00 AM,APP SICK,EMERGENCY RESCUE
A0842366,STRAY,AT LARGE,OTHER,09/07/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0851063,TRANSFER,STRAY,OTHRINTAKS,11/08/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0851522,TRANSFER,STRAY,OTHRINTAKS,09/10/2022 12:00:00 AM,APP WNL,ADOPTION
A0853741,STRAY,AT LARGE,OTHRINTAKS,10/09/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0853741,STRAY,AT LARGE,OTHRINTAKS,05/20/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0857252,OWNER SURRENDER,WALK IN,HOUSING,01/03/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0857362,OWNER SURRENDER,WALK IN,MEDICAL,07/20/2022 12:00:00 AM,DECEASED,N/A
A0858959,CONFISCATED,QUARANTINE,OTHRINTAKS,07/19/2022 12:00:00 AM,APP WNL,QUARANTINE
A0858959,CONFISCATED,QUARANTINE,OTHRINTAKS,03/11/2022 12:00:00 AM,APP INJ,QUARANTINE
A0862723,OWNER SURRENDER,APPOINT,HOUSING,08/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0863410,STRAY,AT LARGE,OTHRINTAKS,09/13/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0865228,STRAY,AT LARGE,OTHRINTAKS,09/27/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0866305,STRAY,AT LARGE,OTHER,01/04/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0866706,STRAY,AT LARGE,OTHRINTAKS,03/10/2022 12:00:00 AM,APP WNL,ADOPTION
A0869493,STRAY,AT LARGE,OTHRINTAKS,08/17/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0870739,OWNER SURRENDER,URGENT,MEDICAL,10/18/2021 12:00:00 AM,APP INJ,N/A
A0871054,STRAY,AT LARGE,OTHRINTAKS,05/02/2022 12:00:00 AM,APP SICK,ADOP RESCU
A0871790,STRAY,AT LARGE,OTHRINTAKS,08/26/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0871848,STRAY,CONFINED,OTHRINTAKS,04/09/2022 12:00:00 AM,APP SICK,RTP
A0872213,STRAY,CONFINED,OTHRINTAKS,12/20/2021 12:00:00 AM,APP WNL,N/A
A0872224,OWNER SURRENDER,APPOINT,BEHAVIOR,03/11/2022 12:00:00 AM,APP WNL,EUTH
A0872410,STRAY,CONFINED,OTHRINTAKS,10/17/2021 12:00:00 AM,APP SICK,RESC FOSTR
A0873455,OWNER SURRENDER,URGENT,FINANCIAL,12/08/2021 12:00:00 AM,APP SICK,RESCU ONLY
A0874101,STRAY,AT LARGE,OTHRINTAKS,12/23/2021 12:00:00 AM,APP WNL,N/A
A0878046,FOSTER,RETURN,OTHER,02/01/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0878238,STRAY,AT LARGE,OTHRINTAKS,09/05/2022 12:00:00 AM,APP WNL,N/A
A0878645,FOSTER,RETURN,MEDICAL,10/28/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0879023,OWNER SURRENDER,WALK IN,MEDICAL,05/13/2022 12:00:00 AM,APP WNL,RESC FOSTR
A0879183,OWNER SURRENDER,PICK UP,BEHAVIOR,03/23/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0880347,STRAY,AT LARGE,OTHRINTAKS,04/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0883160,STRAY,AT LARGE,OTHRINTAKS,04/06/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0884451,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,02/12/2022 12:00:00 AM,CRITICAL,N/A
A0885059,OWNER SURRENDER,URGENT,PERSNLISSU,05/25/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0887129,STRAY,CONFINED,OTHRINTAKS,11/17/2021 12:00:00 AM,APP WNL,N/A
A0887129,TRANSFER,STRAY,OTHRINTAKS,11/24/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0889068,STRAY,AT LARGE,OTHRINTAKS,08/02/2022 12:00:00 AM,APP WNL,N/A
A0889982,CONFISCATED,QUARANTINE,OTHRINTAKS,06/08/2022 12:00:00 AM,APP WNL,QUARANTINE
A0891968,KEEPSAFE,OTHER,OTHER,10/12/2021 12:00:00 AM,APP INJ,ADOP RESCU
A0892710,STRAY,AT LARGE,OTHRINTAKS,05/05/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0892710,STRAY,AT LARGE,OTHRINTAKS,03/30/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0892710,STRAY,AT LARGE,OTHRINTAKS,08/23/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0894774,STRAY,CONFINED,OTHRINTAKS,05/31/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0895359,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,10/09/2021 12:00:00 AM,APP SICK,EMERGENCY RESCUE
A0895880,OWNER SURRENDER,URGENT,MEDICAL,12/04/2021 12:00:00 AM,APP INJ,RESCU ONLY
A0897821,OWNER SURRENDER,QUARANTINE,BEHAVIOR,06/08/2022 12:00:00 AM,APP WNL,QUARANTINE
A0897857,STRAY,AT LARGE,OTHRINTAKS,03/24/2022 12:00:00 AM,APP WNL,N/A
A0897857,STRAY,AT LARGE,OTHER,11/23/2021 12:00:00 AM,APP WNL,N/A
A0898102,STRAY,AT LARGE,OTHRINTAKS,03/22/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0898506,STRAY,AT LARGE,OTHRINTAKS,07/14/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0900210,OWNER SURRENDER,WALK IN,PERSNLISSU,08/16/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0900210,OWNER SURRENDER,PICK UP,HOUSING,05/04/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0902060,STRAY,AT LARGE,OTHRINTAKS,12/10/2021 12:00:00 AM,CRITICAL,N/A
A0902185,OWNER SURRENDER,WALK IN,HOUSING,01/03/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0902861,CONFISCATED,QUARANTINE,OTHRINTAKS,12/14/2021 12:00:00 AM,APP WNL,QUARANTINE
A0903245,STRAY,AT LARGE,OTHRINTAKS,05/05/2022 12:00:00 AM,APP WNL,N/A
A0903371,STRAY,AT LARGE,OTHER,04/29/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0903371,STRAY,AT LARGE,OTHRINTAKS,11/26/2021 12:00:00 AM,APP INJ,N/A
A0903371,TRANSFER,STRAY,OTHRINTAKS,10/28/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0906083,STRAY,CONFINED,OTHRINTAKS,01/19/2022 12:00:00 AM,APP WNL,N/A
A0906544,OWNER SURRENDER,URGENT,MEDICAL,04/29/2022 12:00:00 AM,CRITICAL,N/A
A0906949,FOSTER,FOR ADOPT,OTHER,10/12/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0907637,STRAY,AT LARGE,OTHRINTAKS,12/12/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0908117,OWNER SURRENDER,WALK IN,HOUSING,01/03/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0908495,OWNER SURRENDER,APPOINT,PERSNLISSU,03/10/2022 12:00:00 AM,APP WNL,N/A
A0909598,STRAY,AT LARGE,OTHRINTAKS,04/07/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0909613,OWNER SURRENDER,URGENT,OTHRINTAKS,03/24/2022 12:00:00 AM,DECEASED,N/A
A0910303,OWNER SURRENDER,WALK IN,MEDICAL,06/15/2022 12:00:00 AM,APP SICK,N/A
A0911423,CONFISCATED,QUARANTINE,OTHRINTAKS,08/11/2022 12:00:00 AM,APP WNL,QUARANTINE
A0911520,OWNER SURRENDER,URGENT,OTHRINTAKS,05/12/2022 12:00:00 AM,APP WNL,RTP
A0911675,CONFISCATED,QUARANTINE,OTHRINTAKS,08/02/2022 12:00:00 AM,APP WNL,QUARANTINE
A0911735,STRAY,AT LARGE,OTHRINTAKS,03/30/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0911735,STRAY,AT LARGE,OTHRINTAKS,04/25/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0911809,STRAY,CONFINED,OTHRINTAKS,12/04/2021 12:00:00 AM,APP WNL,N/A
A0912466,CONFISCATED,QUARANTINE,OTHRINTAKS,10/15/2021 12:00:00 AM,APP WNL,QUARANTINE
A0915722,OWNER SURRENDER,WALK IN,MEDICAL,05/19/2022 12:00:00 AM,APP SICK,N/A
A0915966,OWNER SURRENDER,APPOINT,HOUSING,01/05/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0916082,OWNER SURRENDER,URGENT,BEHAVIOR,02/14/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0916337,STRAY,AT LARGE,OTHRINTAKS,10/19/2021 12:00:00 AM,APP SICK,EUTH
A0919489,CONFISCATED,QUARANTINE,OTHRINTAKS,06/10/2022 12:00:00 AM,APP WNL,QUARANTINE
A0919664,CONFISCATED,QUARANTINE,OTHRINTAKS,12/24/2021 12:00:00 AM,APP WNL,QUARANTINE
A0920047,TREATMENT,HEART WORM,OTHER,10/11/2021 12:00:00 AM,APP WNL,N/A
A0920047,OWNER SURRENDER,WALK IN,HOUSING,11/04/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0921358,OWNER SURRENDER,APPOINT,MEDICAL,09/01/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0922028,OWNER SURRENDER,APPOINT,PERSNLISSU,06/05/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0922498,CONFISCATED,QUARANTINE,OTHRINTAKS,07/05/2022 12:00:00 AM,APP WNL,QUARANTINE
A0922929,STRAY,AT LARGE,OTHER,01/10/2022 12:00:00 AM,APP INJ,ADOP RESCU
A0923894,STRAY,AT LARGE,OTHRINTAKS,01/03/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0923894,STRAY,AT LARGE,OTHRINTAKS,03/25/2022 12:00:00 AM,APP WNL,N/A
A0923894,STRAY,CONFINED,OTHRINTAKS,07/23/2022 12:00:00 AM,APP WNL,N/A
A0926373,OWNER SURRENDER,WALK IN,MEDICAL,06/09/2022 12:00:00 AM,DECEASED,N/A
A0927113,STRAY,AT LARGE,OTHRINTAKS,01/11/2022 12:00:00 AM,APP WNL,N/A
A0927496,STRAY,AT LARGE,OTHRINTAKS,05/23/2022 12:00:00 AM,APP WNL,N/A
A0927496,STRAY,AT LARGE,OTHER,04/13/2022 12:00:00 AM,APP WNL,N/A
A0927496,TRANSFER,STRAY,OTHRINTAKS,08/28/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0927520,OWNER SURRENDER,APPOINT,HOUSING,03/06/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0927520,STRAY,AT LARGE,OTHER,10/18/2021 12:00:00 AM,APP WNL,N/A
A0927753,STRAY,AT LARGE,OTHRINTAKS,03/23/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0928373,CONFISCATED,QUARANTINE,OTHRINTAKS,11/24/2021 12:00:00 AM,APP WNL,RESCU ONLY
A0929674,KEEPSAFE,EVICTION,OTHRINTAKS,02/17/2022 12:00:00 AM,APP WNL,N/A
A0930199,STRAY,LEFT AT,OTHRINTAKS,07/02/2022 12:00:00 AM,APP INJ,ADOP RESCU
A0930266,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,09/27/2022 12:00:00 AM,APP SICK,N/A
A0930272,STRAY,AT LARGE,OTHRINTAKS,11/01/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0930847,STRAY,CONFINED,OTHER,04/30/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932422,OWNER SURRENDER,APPOINT,HOUSING,08/29/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,TREATMENT,ILLNESS,OTHER,06/26/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,TREATMENT,ILLNESS,OTHER,07/16/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,TREATMENT,ILLNESS,OTHER,07/30/2022 12:00:00 AM,APP WNL,N/A
A0932911,FOSTER,APPOINT,OTHER,06/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,FOSTER,RETURN,OTHER,06/22/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,FOSTER,APPOINT,OTHRINTAKS,03/09/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932911,OWNER SURRENDER,APPOINT,PERSNLISSU,12/07/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0932912,OWNER SURRENDER,APPOINT,PERSNLISSU,12/07/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0932912,FOSTER,RETURN,OTHER,02/09/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932912,FOSTER,RETURN,OTHRINTAKS,03/18/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0932982,STRAY,CONFINED,OTHRINTAKS,07/04/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0933411,STRAY,QUARANTINE,OTHRINTAKS,02/06/2022 12:00:00 AM,APP WNL,QUARANTINE
A0933440,FOSTER,RETURN,OTHER,12/20/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0933440,FOSTER,RETURN,OTHER,12/19/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0936850,OWNER SURRENDER,WALK IN,MEDICAL,07/28/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0938043,OWNER SURRENDER,URGENT,MEDICAL,07/07/2022 12:00:00 AM,APP INJ,EVAL
A0938810,STRAY,AT LARGE,OTHRINTAKS,06/02/2022 12:00:00 AM,APP WNL,N/A
A0939604,TREATMENT,HEART WORM,OTHER,12/28/2021 12:00:00 AM,APP WNL,N/A
A0939604,TREATMENT,HEART WORM,OTHER,11/22/2021 12:00:00 AM,APP WNL,N/A
A0941121,OWNER SURRENDER,PICK UP,BEHAVIOR,03/23/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0941186,CONFISCATED,SAC,OTHRINTAKS,06/15/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0943022,CONFISCATED,QUARANTINE,OTHRINTAKS,12/05/2021 12:00:00 AM,APP WNL,QUARANTINE
A0943355,STRAY,AT LARGE,OTHRINTAKS,01/21/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0943355,OWNER SURRENDER,APPOINT,MEDICAL,05/01/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0943615,CONFISCATED,QUARANTINE,OTHRINTAKS,04/21/2022 12:00:00 AM,APP WNL,QUARANTINE
A0943620,OWNER SURRENDER,URGENT,MEDICAL,05/14/2022 12:00:00 AM,APP SICK,RESCU ONLY
A0945090,OWNER SURRENDER,WALK IN,PERSNLISSU,05/17/2022 12:00:00 AM,APP WNL,RESC FOSTR
A0945632,TREATMENT,HEART WORM,OTHER,01/11/2022 12:00:00 AM,APP WNL,N/A
A0945632,TREATMENT,HEART WORM,OTHER,12/08/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0945632,TREATMENT,HEART WORM,OTHER,11/01/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0947684,STRAY,CONFINED,OTHRINTAKS,11/13/2021 12:00:00 AM,APP WNL,N/A
A0948595,STRAY,CONFINED,OTHRINTAKS,01/19/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0948595,OWNER SURRENDER,APPOINT,HOUSING,01/30/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0948892,OWNER SURRENDER,APPOINT,MEDICAL,12/28/2021 12:00:00 AM,APP WNL,ADOP RESCU
A0949069,OWNER SURRENDER,URGENT,OTHER,05/11/2022 12:00:00 AM,CRITICAL,N/A
A0950108,STRAY,AT LARGE,OTHRINTAKS,02/15/2022 12:00:00 AM,APP WNL,N/A
